"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.804250042E0,-4.932993253E-1,-5.555147231E-2,1.490731258E0,1.571212868E0
2.814258042E0,-6.127411303E-1,-2.364333344E-1,1.339024079E0,1.491421435E0
2.824266042E0,-7.849645816E-1,-3.698393136E-1,1.071351410E0,1.378674855E0
2.834274042E0,-9.306833352E-1,-4.753628451E-1,8.184452999E-1,1.327401226E0
2.844283042E0,-9.732228523E-1,-6.045956665E-1,5.734960075E-1,1.281247951E0
2.854291042E0,-8.860301958E-1,-6.637776750E-1,3.311605668E-1,1.155559445E0
2.864299042E0,-6.152291206E-1,-6.669041812E-1,-1.085243225E-3,9.073418515E-1
2.874308042E0,-1.820178299E-1,-5.743222922E-1,-2.180893763E-1,6.407336122E-1
2.884316042E0,3.161893559E-1,-3.593763059E-1,-2.644860093E-1,5.468819682E-1
2.894324042E0,7.212536122E-1,-2.343768686E-1,-4.667949931E-1,8.905261676E-1
2.904332042E0,9.079911683E-1,-9.343850613E-3,-5.906062031E-1,1.083213255E0
2.914341042E0,1.021415604E0,2.939295906E-1,-4.335594924E-1,1.147892971E0
2.924349042E0,9.550388888E-1,4.448742932E-1,-6.990017407E-1,1.264363812E0
2.934357042E0,7.936817569E-1,6.096178401E-1,-1.154701130E0,1.528037743E0
2.944366042E0,5.723054413E-1,6.310198188E-1,-2.179320277E0,2.339905212E0
2.954374042E0,2.209811899E-1,6.852235079E-1,-2.750145496E0,2.842826796E0
2.964382042E0,2.905819134E-1,8.179208046E-1,-1.964616658E0,2.147824691E0
2.974391042E0,6.443226729E-1,6.025748688E-1,-1.432799238E0,1.682605669E0
2.984399042E0,1.087270601E0,1.414833230E-1,-1.194553267E0,1.621459959E0
2.994407042E0,1.384390432E0,-2.966982472E-1,-9.407560413E-1,1.699879010E0
3.004415042E0,1.385373934E0,-4.670633072E-1,-7.556321704E-1,1.645718398E0
3.014424042E0,1.330009573E0,-5.601696914E-1,-9.417909984E-1,1.723277642E0
3.024432042E0,1.142631308E0,-6.999467969E-1,-1.229031959E0,1.818255037E0
3.034440042E0,9.501393606E-1,-9.833432132E-1,-1.403605114E0,1.959549947E0
3.044449042E0,7.524112317E-1,-9.979717773E-1,-1.634799489E0,2.057824021E0
3.054457042E0,5.779162833E-1,-7.497972339E-1,-1.697953073E0,1.944023601E0
3.064465042E0,5.294257624E-1,-5.569712645E-1,-1.633071198E0,1.804835219E0
3.074473042E0,5.760596462E-1,-4.350761139E-1,-1.512436269E0,1.675887648E0
3.084482000E0,5.480772109E-1,-3.043434817E-1,-1.300133078E0,1.443384774E0
3.094490000E0,4.362658761E-1,-1.806544054E-1,-1.009598819E0,1.114564357E0
3.104498000E0,2.531949627E-1,-8.837306321E-2,-6.532253511E-1,7.061308992E-1
3.114507000E0,3.721898943E-2,-7.245284915E-3,-1.756141055E-1,1.796609623E-1
3.124515000E0,-5.949717343E-2,5.603035927E-2,3.640429688E-1,3.731040041E-1
3.134523000E0,5.569794506E-2,1.390263230E-1,6.287908602E-1,6.463810992E-1
