"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.048358958E0,5.820547087E0,-1.242922166E0,1.408002220E-2,5.951791507E0
3.058358958E0,5.893106940E0,-1.608585398E0,2.123591415E-1,6.112393377E0
3.068358958E0,5.881752816E0,-1.618540283E0,4.359485185E-1,6.115941461E0
3.078359958E0,5.737314895E0,-1.372659602E0,6.418441844E-1,5.934049254E0
3.088359958E0,5.499869408E0,-1.090468297E0,8.576508808E-1,5.672146829E0
3.098359958E0,5.247239871E0,-1.149445068E0,8.400414062E-1,5.436949493E0
3.108359958E0,4.900035129E0,-1.313243705E0,5.986572343E-1,5.108164424E0
3.118359958E0,4.260863999E0,-1.035372908E0,2.834905565E-2,4.384947291E0
3.128359958E0,3.389364865E0,-4.276255918E-1,-1.578372835E0,3.763232473E0
3.138360958E0,2.305525557E0,2.633059680E-1,-5.078582783E0,5.583617215E0
3.148360958E0,1.387003699E0,4.981704944E-1,-7.705159070E0,7.844834568E0
